Created_at;Fakultas;Tahun;Tahun Data;Anggaran;Serapan;id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
18/09/2023 10:29;FK;2020;01/01/2020;36388289921;22848858922;9;10100;FK;9;4486474601;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2019;01/01/2019;24865845344;24419450529;9;10100;FK;9;4486474601;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2023;01/01/2023;49644529173;26363013584;10;10100;FK;10;3625313867;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2022;01/01/2022;67010091248;40789131935;10;10100;FK;10;3625313867;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2021;01/01/2021;35366690133;22140089024;10;10100;FK;10;3625313867;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2020;01/01/2020;36388289921;22848858922;10;10100;FK;10;3625313867;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2019;01/01/2019;24865845344;24419450529;10;10100;FK;10;3625313867;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2023;01/01/2023;49644529173;26363013584;11;10100;FK;11;6485544906;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2022;01/01/2022;67010091248;40789131935;11;10100;FK;11;6485544906;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2021;01/01/2021;35366690133;22140089024;11;10100;FK;11;6485544906;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2020;01/01/2020;36388289921;22848858922;11;10100;FK;11;6485544906;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2019;01/01/2019;24865845344;24419450529;11;10100;FK;11;6485544906;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2023;01/01/2023;49644529173;26363013584;12;10100;FK;12;15980584965;2019;18/09/2023 10:27
18/09/2023 10:30;FK;2022;01/01/2022;67010091248;40789131935;12;10100;FK;12;15980584965;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2021;01/01/2021;35366690133;22140089024;12;10100;FK;12;15980584965;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2020;01/01/2020;36388289921;22848858922;12;10100;FK;12;15980584965;2019;18/09/2023 10:27
18/09/2023 10:29;FK;2019;01/01/2019;24865845344;24419450529;12;10100;FK;12;15980584965;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;13;10200;FKG;1;244661148;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;13;10200;FKG;1;244661148;2019;18/09/2023 10:27
